CHANNEL	UTTRANS_ID	SPEAKER_ID	TOPIC	VALID(h)	TOTAL(h)	RECORDINGCONDITION
C0	G0005_S0001_0_SPK007.wav	SPK007	pet	0.25101	0.531152587	indoor
C0	G0005_S0001_0_SPK006.wav	SPK006	pet	0.307292222	0.531105191	indoor
C0	G0004_S0001_0_SPK004.wav	SPK004	travel	0.194994167	0.511786667	indoor
C0	G0010_S0001_0_SPK011.wav	SPK011	food	0.255233333	0.513831111	indoor
C0	G0045_S0001_0_SPK017.wav	SPK017	plant	0.035935833	0.137517031	indoor
C0	G0011_S0001_0_SPK017.wav	SPK017	social	0.353688889	0.796888889	indoor
C0	G0012_S0001_0_SPK019.wav	SPK019	food	0.198098333	0.600071111	indoor
C0	G0012_S0001_0_SPK020.wav	SPK020	food	0.3023775	0.600136302	indoor
C0	G0046_S0001_0_SPK036.wav	SPK036	plant	0.173971944	0.524580747	indoor
C0	G0006_S0001_0_SPK037.wav	SPK037	food	0.120607222	0.337831111	indoor
C0	G0002_S0001_0_SPK036.wav	SPK036	food	0.105310556	0.267229635	indoor
C0	G0007_S0001_0_SPK034.wav	SPK034	travel	0.167315278	0.33967408	indoor
C0	G0047_S0001_0_SPK005.wav	SPK005	food	0.265820833	0.64240592	indoor
C0	G0004_S0001_0_SPK005.wav	SPK005	travel	0.252129167	0.511857778	indoor
C0	G0010_S0001_0_SPK012.wav	SPK012	food	0.132579722	0.513831111	indoor
C0	G0048_S0001_0_SPK018.wav	SPK018	plant	0.025016111	0.137955556	indoor
C0	G0011_S0001_0_SPK018.wav	SPK018	social	0.236696111	0.796717031	indoor
C0	G0002_S0001_0_SPK008.wav	SPK008	plant	0.289834167	0.524491858	indoor
C0	G0023_S0001_0_SPK035.wav	SPK035	food	0.167949722	0.337783698	indoor
C0	G0041_S0001_0_SPK008.wav	SPK008	food	0.14204	0.266281476	indoor
C0	G0049_S0002_0_SPK002.wav	SPK002	travel	0.190710556	0.348266667	indoor
C0	G0050_S0002_0_SPK003.wav	SPK003	travel	0.142236389	0.348148142	indoor
C0	G0051_S0002_0_SPK009.wav	SPK009	travel	0.177670556	0.545641476	indoor
C0	G0003_S0002_0_SPK009.wav	SPK009	animal	0.19339	0.41632592	indoor
C0	G0029_S0002_0_SPK015.wav	SPK015	game	0.039888056	0.223478524	indoor
C0	G0052_S0002_0_SPK016.wav	SPK016	game	0.118758889	0.217309635	indoor
C0	G0016_S0002_0_SPK016.wav	SPK016	animal	0.271596944	0.510992587	indoor
C0	G0017_S0002_0_SPK015.wav	SPK015	animal	0.155219444	0.510986667	indoor
C0	G0042_S0002_0_SPK021.wav	SPK021	social	0.122655833	0.288017778	indoor
C0	G0013_S0002_0_SPK021.wav	SPK021	travel	0.171428333	0.318933333	indoor
C0	G0053_S0002_0_SPK022.wav	SPK022	social	0.119089444	0.2872	indoor
C0	G0013_S0002_0_SPK022.wav	SPK022	travel	0.104379167	0.323810365	indoor
C0	G0043_S0002_0_SPK023.wav	SPK023	career	0.189706111	0.504770365	indoor
C0	G0054_S0002_0_SPK024.wav	SPK024	career	0.159505278	0.504699253	indoor
C0	G0015_S0002_0_SPK024.wav	SPK024	festival	0.140933333	0.500402969	indoor
C0	G0015_S0002_0_SPK023.wav	SPK023	festival	0.213034722	0.501582222	indoor
C0	G0014_S0002_0_SPK025.wav	SPK025	food	0.258426667	0.523306667	indoor
C0	G0014_S0002_0_SPK026.wav	SPK026	food	0.208888056	0.521795556	indoor
C0	G0018_S0002_0_SPK027.wav	SPK027	travel	0.239370278	0.519780747	indoor
C0	G0018_S0002_0_SPK028.wav	SPK028	travel	0.203794167	0.51952	indoor
C0	G0019_S0002_0_SPK033.wav	SPK033	electronic products	0.174661667	0.348432587	indoor
C0	G0001_S0002_0_SPK003.wav	SPK003	food	0.184679167	0.360562969	indoor
C0	G0001_S0002_0_SPK002.wav	SPK002	food	0.173828333	0.360817778	indoor
C0	G0055_S0002_0_SPK030.wav	SPK030	travel	0.301643056	0.545718524	indoor
C0	G0003_S0002_0_SPK030.wav	SPK030	animal	0.137463056	0.416397031	indoor
C0	G0022_S0002_0_SPK032.wav	SPK032	electronic products	0.160088889	0.348438524	indoor
C0	G0007_S0002_0_SPK001.wav	SPK001	social	0.1366675	0.363401476	indoor
C0	G0056_S0002_0_SPK004.wav	SPK004	electronic products	0.190960833	0.513072587	indoor
C0	G0057_S0002_0_SPK006.wav	SPK006	finance	0.248063056	0.531117031	indoor
C0	G0058_S0002_0_SPK007.wav	SPK007	finance	0.286908056	0.531158524	indoor
C0	G0005_S0002_0_SPK007.wav	SPK007	social	0.310123056	0.532177778	indoor
C0	G0005_S0002_0_SPK006.wav	SPK006	social	0.250163611	0.532207413	indoor
C0	G0004_S0002_0_SPK004.wav	SPK004	entertainment	0.066135	0.162868142	indoor
C0	G0019_S0002_0_SPK010.wav	SPK010	entertainment	0.199140278	0.420361476	indoor
C0	G0012_S0002_0_SPK019.wav	SPK019	child	0.162813611	0.531881476	indoor
C0	G0012_S0002_0_SPK020.wav	SPK020	child	0.327609722	0.531822222	indoor
C0	G0059_S0002_0_SPK036.wav	SPK036	entertainment	0.159171111	0.360272587	indoor
C0	G0006_S0002_0_SPK037.wav	SPK037	festival	0.161051389	0.362204444	indoor
C0	G0002_S0002_0_SPK036.wav	SPK036	sport	0.050481389	0.142945191	indoor
C0	G0007_S0002_0_SPK034.wav	SPK034	social	0.188808056	0.363294809	indoor
C0	G0060_S0002_0_SPK005.wav	SPK005	electronic products	0.242628889	0.51311408	indoor
C0	G0061_S0002_0_SPK005.wav	SPK005	entertainment	0.070179167	0.162933333	indoor
C0	G0004_S0002_0_SPK005.wav	SPK005	social	0.126515833	0.420367413	indoor
C0	G0062_S0002_0_SPK008.wav	SPK008	entertainment	0.175685833	0.360219253	indoor
C0	G0025_S0002_0_SPK039.wav	SPK039	festival	0.157922222	0.362127413	indoor
C0	G0002_S0002_0_SPK008.wav	SPK008	sport	0.075674167	0.142749635	indoor
C0	G0063_S0003_0_SPK002.wav	SPK002	career	0.21361	0.366642969	indoor
C0	G0001_S0003_0_SPK003.wav	SPK003	career	0.129405833	0.366008889	indoor
C0	G0003_S0003_0_SPK009.wav	SPK009	animal	0.003231389	0.00895408	indoor
C0	G0008_S0003_0_SPK013.wav	SPK013	social	0.188264167	0.502411858	indoor
C0	G0009_S0003_0_SPK014.wav	SPK014	social	0.202886944	0.502494809	indoor
C0	G0064_S0003_0_SPK016.wav	SPK016	travel	0.222186667	0.451288889	indoor
C0	G0016_S0003_0_SPK016.wav	SPK016	animal	0.174335278	0.341623698	indoor
C0	G0030_S0003_0_SPK015.wav	SPK015	animal	0.124998611	0.341617778	indoor
C0	G0013_S0003_0_SPK021.wav	SPK021	social	0.244606944	0.507928889	indoor
C0	G0044_S0003_0_SPK021.wav	SPK021	entertainment	0.097665833	0.181635556	indoor
C0	G0065_S0003_0_SPK022.wav	SPK022	social	0.212128889	0.5064	indoor
C0	G0013_S0003_0_SPK022.wav	SPK022	entertainment	0.066673611	0.181137778	indoor
C0	G0045_S0003_0_SPK003.wav	SPK003	science and technology	0.164643333	0.361404444	indoor
C0	G0001_S0003_0_SPK002.wav	SPK002	science and technology	0.196825833	0.361333333	indoor
C0	G0003_S0003_0_SPK030.wav	SPK030	animal	0.002773056	0.009019253	indoor
C0	G0017_S0003_0_SPK015.wav	SPK015	travel	0.116383056	0.451336302	indoor
C0	G0004_S0003_0_SPK004.wav	SPK004	travel	0.160452778	0.364717031	indoor
C0	G0019_S0003_0_SPK010.wav	SPK010	social	0.232690278	0.501730365	indoor
C0	G0010_S0003_0_SPK011.wav	SPK011	entertainment	0.230580556	0.42624592	indoor
C0	G0012_S0003_0_SPK019.wav	SPK019	plant	0.139468333	0.50703408	indoor
C0	G0012_S0003_0_SPK020.wav	SPK020	plant	0.303328611	0.507004444	indoor
C0	G0006_S0003_0_SPK037.wav	SPK037	pet	0.13316	0.340029635	indoor
C0	G0002_S0003_0_SPK036.wav	SPK036	travel	0.153283889	0.36336592	indoor
C0	G0004_S0003_0_SPK005.wav	SPK005	travel	0.143363056	0.364788142	indoor
C0	G0020_S0003_0_SPK029.wav	SPK029	social	0.179666389	0.501730365	indoor
C0	G0010_S0003_0_SPK012.wav	SPK012	travel	0.105098889	0.426251858	indoor
C0	G0024_S0003_0_SPK038.wav	SPK038	pet	0.162393611	0.339407413	indoor
C0	G0002_S0003_0_SPK008.wav	SPK008	travel	0.170395278	0.363010365	indoor
C0	G0003_S0004_0_SPK009.wav	SPK009	entertainment	0.050861667	0.124699253	indoor
C0	G0008_S0004_0_SPK013.wav	SPK013	festival	0.16003	0.502731858	indoor
C0	G0009_S0004_0_SPK014.wav	SPK014	festival	0.221533889	0.502808889	indoor
C0	G0017_S0004_0_SPK015.wav	SPK015	food	0.151875833	0.523336302	indoor
C0	G0016_S0004_0_SPK016.wav	SPK016	food	0.272220278	0.523253333	indoor
C0	G0001_S0004_0_SPK003.wav	SPK003	science and technology	0.158231944	0.35296	indoor
C0	G0001_S0004_0_SPK002.wav	SPK002	finance	0.196163889	0.353013333	indoor
C0	G0003_S0004_0_SPK030.wav	SPK030	entertainment	0.039638333	0.124758524	indoor
C0	G0012_S0004_0_SPK019.wav	SPK019	travel	0.120326944	0.516213333	indoor
C0	G0012_S0004_0_SPK020.wav	SPK020	travel	0.320178611	0.51616592	indoor
C0	G0002_S0004_0_SPK036.wav	SPK036	travel	0.205502778	0.503952587	indoor
C0	G0002_S0004_0_SPK008.wav	SPK008	travel	0.239646944	0.50368592	indoor
